"output","barkbeetle","decomposition","establishment","rep","cumNEP","totalC","liveC","deadWoodyC","litterC","soilC"
"scen_001",FALSE,FALSE,TRUE,1,0.0810526936757168,0.0713796579634608,0.354006920717952,-0.153506161155175,0.0237574671115325,-0.00854500900901831
"scen_001",FALSE,FALSE,TRUE,10,0.0518076235079588,0.0318296410229575,-0.127745324192801,0.121071868136453,0.0599303240579912,0.0467546624189116
"scen_001",FALSE,FALSE,TRUE,2,-0.0375812632417346,0.00665231956041142,-0.0159471610155071,0.0261186069442246,0.00307959603795406,0.00402645719963199
"scen_001",FALSE,FALSE,TRUE,3,0.244880207227211,0.250971078835,0.966528807434232,-0.326764213306395,0.0971049538254167,0.0130620777050806
"scen_001",FALSE,FALSE,TRUE,4,0.0711649524724067,0.0510256099206089,0.206190776832847,-0.0599132869131025,0.0141734543936912,-0.0139964131677525
"scen_001",FALSE,FALSE,TRUE,5,0.141886984903555,0.0645351645534377,-0.0553351072105407,0.121249949160329,0.0786013255279206,0.0506798670570323
"scen_001",FALSE,FALSE,TRUE,6,0.0607996716346721,-0.0396045462246499,-0.168398372869987,0.0501876817318681,0.00167056121412814,0.00355150604720996
"scen_001",FALSE,FALSE,TRUE,7,0.0080860144969495,-0.069568303533359,-0.168641458582234,0.0094549902062083,-0.0264202970233647,-0.0170040178511287
"scen_001",FALSE,FALSE,TRUE,8,0.138719617764332,0.119340697807147,0.376156379843564,-0.157158468277846,0.0898713776992042,0.0745237025236486
"scen_001",FALSE,FALSE,TRUE,9,-0.0305089244881178,-0.0781168869998012,-0.334843481252008,0.114829239980864,-0.0251546320549616,0.0165877950719346
"scen_010",FALSE,TRUE,FALSE,1,0.703230409564892,0.793966576367011,0.0469394701940778,0.619921799394814,0.909919821891594,0.993001044842996
"scen_010",FALSE,TRUE,FALSE,10,0.524142486980084,0.602590411179768,-0.470275134684108,0.710857275656751,0.82393722837677,0.935522246463847
"scen_010",FALSE,TRUE,FALSE,2,0.741471795663096,0.816490661429756,0.126979839200436,0.601527918283487,0.921170857107174,0.984464498771312
"scen_010",FALSE,TRUE,FALSE,3,0.843410901532288,0.934839275183945,0.80916632714043,0.282779009890448,0.941674458195343,0.957446204605369
