"output","barkbeetle","decomposition","establishment","cumNEP_mean","cumNEP_se","totalC_mean","totalC_se","liveC_mean","liveC_se","deadWoodyC_mean","deadWoodyC_se","litterC_mean","litterC_se","soilC_mean","soilC_se"
"scen_001",FALSE,FALSE,TRUE,0.073030757795295,0.0271681181361582,0.0408444432905214,0.0309079909419624,0.103197197970552,0.121360974037383,-0.0254429793492572,0.0469029743637497,0.0316614130789512,0.0146666531325799,0.016964062799555,0.00969712850378325
"scen_010",FALSE,TRUE,FALSE,0.733929311358317,0.02943693217161,0.787277030999942,0.0337863018137384,0.124145531761415,0.12193974469282,0.557772716380494,0.0413958361215981,0.899315704320382,0.0142602688209753,0.968100888268551,0.00642053519892866
"scen_011",FALSE,TRUE,TRUE,0.742093615080561,0.0308874112898417,0.766951519759767,0.0222732552722809,-0.0157100223584297,0.0798626225581514,0.63162195223486,0.0304132781578276,0.895927968503124,0.0119814155059849,0.974725888806095,0.008515282216167
"scen_100",TRUE,FALSE,FALSE,0.232475098199203,0.0308954171092009,0.216862847179295,0.0306596777176292,0.922126711731059,0.110221156426325,-0.349708315637063,0.0397705621135275,0.0759785284070559,0.0141183169085057,0.00273258199575353,0.00725039196342751
"scen_101",TRUE,FALSE,TRUE,0.291621929644937,0.0216504012188388,0.242934431596219,0.0232451250071618,0.984289977641578,0.09055700066188,-0.368378047765141,0.033201570358184,0.0989539775699268,0.0102797450447538,0.0191897667362929,0.00721642029181155
"scen_110",TRUE,TRUE,FALSE,0.906770888060719,0.0161886097381938,0.950788684592782,0.0207335511660489,0.867906794754722,0.0855226152226105,0.233221183890119,0.0373592582198272,0.966641129139444,0.00994611564544691,0.984656816529689,0.00852394044062401
"scen_111",TRUE,TRUE,TRUE,1,0.0172578765539623,1,0.0190248094458172,0.960455768225017,0.0781388116629171,0.238203183504086,0.0326436190559682,0.999999999999999,0.00949349351859099,1.00000000000003,0.00616657687591583
