"year","season","forest_type_eng","buff_maxT_median","buff_maxT_mean","buff_maxT_se","buff_maxT_sd","buff_maxT_min","buff_maxT_max","buff_minT_median","buff_minT_mean","buff_minT_se","buff_minT_sd","buff_minT_min","buff_minT_max","buff_meanT_median","buff_meanT_mean","buff_meanT_se","buff_meanT_sd","buff_meanT_min","buff_meanT_max"
1988,"annual","Beech",-0.964118073526464,-0.907430312242108,0.00607185874576834,1.00003347644887,-4.39020928854499,2.84512157909206,-0.0702141127523666,-0.0152721306486099,0.00461628268965433,0.760300497705598,-1.60492316914386,2.48731716213331,-0.55099604549548,-0.461351221445359,0.00461765136973668,0.760525918941205,-2.54284981731834,2.08336468130513
1988,"annual","Dwarf mountain pine",-0.193003005159846,-0.158571781874142,0.00231329247122977,0.968134318347446,-4.60841461348403,3.60465653216253,0.914050486732702,0.94460086621529,0.00189436751395064,0.79281034483425,-1.57962989969983,2.58424474958514,0.345220339638461,0.393014542170574,0.0018907150215719,0.791281742954749,-2.57390732806725,2.41481179748077
1988,"annual","Larch-Swiss stone pine",-0.0954234325428767,-0.118878763714386,0.00257621519421835,0.869059381258962,-3.49924228849307,3.06461534506636,1.10260220425702,1.14706196449744,0.00208735818116213,0.704148556167876,-1.54956091459983,2.5936234655276,0.52212873015736,0.514091600391525,0.00205922398082979,0.694657776520308,-2.20776770251696,2.29972647855191
1988,"annual","Spruce",-1.09145908210366,-1.05813496132487,0.00162344750753139,1.06560378720873,-5.31567553483723,3.12073269144433,0.835306935785898,0.824254082171464,0.00115663986064988,0.759199056469192,-1.60247464421017,2.56350554533995,-0.163349911733403,-0.116940439576702,0.00121812836080399,0.799559079401896,-2.85757915795745,2.17512863532442
1988,"annual","Spruce-fir-beech",-0.778541254459833,-0.73568814839124,0.0037835835851221,1.19480393736233,-5.04357347918338,3.32692541874171,0.375467883392436,0.404569475828107,0.00286674913388933,0.905280159811899,-1.60700996651676,2.53927391148656,-0.203655408339096,-0.165559336281566,0.00297093967227771,0.938182106525023,-2.86177532016579,2.26456027612334
1988,"annual",NA,-0.832383073179327,-0.789266721752966,0.00778968177046404,1.0402069321349,-4.35156203553976,2.6994106662078,0.27832777708606,0.46502739336135,0.00791403830401023,1.05681306985178,-1.56387642107375,2.58840146611949,-0.308383927516426,-0.162119664195808,0.00705294967397332,0.941826297793495,-2.5393780916115,2.03218140009322
1988,"autumn","Beech",-0.88640193100814,-0.837384384089403,0.00596799047912035,0.982926401311278,-4.29966899850866,2.8408988072322,-0.069029495201923,-0.0148447695655157,0.00461242694074774,0.759665456914167,-1.60324455748548,2.4851936350812,-0.509261478680176,-0.426114576827459,0.00456062691597766,0.75113400698756,-2.49805872387939,2.07493937081033
1988,"autumn","Dwarf mountain pine",-0.201410677079317,-0.166291269175382,0.00231047459837241,0.966955012465514,-4.6102915753375,3.59206140696348,0.907570316896333,0.938074156574203,0.00189242817764956,0.791998714635632,-1.58015173739129,2.57323759728736,0.338050653318783,0.38589144369941,0.00188713665315289,0.78978416263872,-2.52557981636498,2.40161799271028
1988,"autumn","Larch-Swiss stone pine",-0.101509478065993,-0.125549212113518,0.00256074181247497,0.863839596982377,-3.46890842521584,3.05070222865094,1.09581301435009,1.14046765461962,0.00208600202233379,0.703691070102703,-1.54915460780427,2.5824752666138,0.516128985108909,0.507459221253053,0.00205004889141587,0.691562655605352,-2.16572663155231,2.29917991095847
1988,"autumn","Spruce",-1.06657804958113,-1.03115788214594,0.00160111037675167,1.05094206821639,-5.21491272894891,3.11650980959882,0.833572348395546,0.822399566927254,0.00115539457622479,0.758381672603458,-1.60205928702931,2.55415183895237,-0.151590050249309,-0.104379157609343,0.00120593677132049,0.791556724003619,-2.80637430620717,2.16987745250974
1988,"autumn","Spruce-fir-beech",-0.725252254978643,-0.686211408297209,0.00372951371615688,1.17772941241028,-4.94355010986328,3.32602600474934,0.375243836051815,0.404089627393968,0.00286397528419805,0.904404216025213,-1.60375846873273,2.53152071250664,-0.177728113073569,-0.141060890451621,0.00293946037056906,0.928241373677251,-2.81100586809955,2.25930917525029
1988,"autumn",NA,-0.785202897511997,-0.751172351483639,0.00764636245031252,1.02106857003958,-4.24803832861093,2.67326359041444,0.278051911638333,0.463326406674487,0.00790093491299072,1.05506328872149,-1.56239198590373,2.57726367751321,-0.282661839828386,-0.143922972404576,0.00695614126282331,0.928898840249719,-2.4867779484817,2.03852843910783
1988,"spring","Beech",-1.0637762721466,-0.989316439229397,0.00630715307207021,1.03878638770267,-4.49848457004713,2.93720177852589,-0.0586834889229225,-0.000921596561867766,0.00463365378027611,0.763161511584802,-1.59293863566025,2.51266955551894,-0.596777014110399,-0.495119017895632,0.00475241965540997,0.782722218769629,-2.60892291302266,2.15864592531453
1988,"spring","Dwarf mountain pine",-0.0733774522238468,-0.0398197334318767,0.00236732938108188,0.99074926545678,-4.62087165791055,3.75496201152387,0.948108416860519,0.979988017503719,0.00189962137426356,0.795009134021525,-1.55702778308288,2.62757254942604,0.416988176658102,0.470084142035921,0.00192160138152561,0.804207970577027,-2.64134426998055,2.50921455414399
1988,"spring","Larch-Swiss stone pine",0.0140686633834703,-0.0122963418005738,0.00265360193830381,0.895164993897025,-3.53382531456326,3.21393054594164,1.13716363097015,1.18133122355882,0.00209182718015189,0.705656126461539,-1.53768053650856,2.63503641667573,0.593846553430446,0.584517440879124,0.00209769625184543,0.70763599670918,-2.26802991946106,2.39691719153653
