"year","season","name","value_mean","value_sd","value_min","value_max"
1988,"annual","LAI_1",2.7606139050467,2.08761387146363,0.300000011920929,9.39999961853027
1988,"annual","Northness",0.273282256083059,0.637485950527766,-1,1
1988,"annual","STol_1",2.72790433676824,1.02249037610307,1,5
1988,"annual","TPI",-8.9512611236775,47.1913593966728,-105,67
1988,"annual","buff_maxT",-0.704759398783262,1.11491440781147,-5.31567553483723,3.60465653216253
1988,"annual","buff_meanT",0.0521030524017645,0.8529634587469,-2.86177532016579,2.41481179748077
1988,"annual","buff_minT",0.808965503586791,0.822865592239969,-1.60700996651676,2.5936234655276
1988,"annual","macro_maxT",7.84238557763134,1.69462511069675,3.30641202792187,11.50546058072
1988,"annual","macro_meanT",5.67571668181064,1.60303523379621,1.23673327903418,8.96566919850877
1988,"annual","macro_minT",3.50904778598993,1.51498877920247,-0.832945469853496,6.42587781629758
1988,"annual","micro_maxT",7.13762617884807,1.40643305414631,1.72927350784324,12.5616512750123
1988,"annual","micro_meanT",5.7278197342124,1.32312055469777,0.87478561091431,9.99410083005204
1988,"annual","micro_minT",4.31801328957673,1.4058434462815,-1.06734732118327,7.99720119795389
