"period","name","macroclimate_mean","macroclimate_se","microclimate_mean","microclimate_se","diff_mean","diff_se","relDiff_mean","relDiff_se"
"early","NEP_Mg_ha",0.388526301767352,0.0410610829822374,0.558842945672807,0.038381104699796,0.170316643905455,0.0077410453134627,61.4070378573845,21.0357149519215
"early","Rh_Mg_ha",7.17973128689973,0.0147191971551932,7.05157044907632,0.013191420606859,-0.128160837823403,0.00331336546940678,-1.78463352246694,0.0443238928272446
"early","ba_m2_ha_abal",0.307341821005284,0.00142315345411235,0.30598930780771,0.00164425413374219,-0.00135251319757425,0.000489087406655414,-0.442270075599876,0.15906505775123
"early","ba_m2_ha_acpl",0.000321036299755116,6.64999695657231e-06,0.000314355626233873,5.10486342684478e-06,-6.68067352124276e-06,9.04802181120647e-06,-1.65358650193197,2.75660178053635
"early","ba_m2_ha_acps",0.0678722504976141,0.00189969201326803,0.0646399465384697,0.00193107025867044,-0.00323230395914441,0.00043137826164844,-4.78604630307529,0.639167019021373
"early","ba_m2_ha_algl",0.000515791361063958,1.11538252935428e-05,0.000481185880671459,8.01363632064124e-06,-3.46054803924993e-05,5.99566737240104e-06,-6.57789883953697,1.04347093130326
"early","ba_m2_ha_alin",0.000878913783546026,2.0744638893327e-05,0.000790710401724709,1.19658976915781e-05,-8.82033818213165e-05,1.94356985228794e-05,-9.70999345616369,1.9693871996644
"early","ba_m2_ha_alvi",0.000122226861849877,3.00975106894683e-06,0.000120031016277949,1.6722410125241e-06,-2.19584557192857e-06,1.90432875487539e-06,-1.52589112815572,1.45564934351467
"early","ba_m2_ha_bepe",0.0113405428302514,0.000144034660030235,0.0113051304039011,0.000101040468315194,-3.54124263502889e-05,6.80896773069545e-05,-0.259801265757349,0.596566487744424
"early","ba_m2_ha_cabe",5.66180626408716e-07,4.28429665377944e-08,5.13417640332275e-07,7.65904588740577e-08,-5.27629860764407e-08,7.4672787607862e-08,-6.56517743752,16.5677192246843
"early","ba_m2_ha_coav",9.71923852307707e-09,2.11561235178436e-09,7.95104343830325e-09,1.13788414131603e-09,-1.76819508477382e-09,2.68158230000491e-09,Inf,NA
"early","ba_m2_ha_fasy",2.95505109896303,0.00737985899647912,2.94769989430734,0.00658380856660275,-0.00735120465569059,0.00185181231898139,-0.248025710507123,0.0625356004077888
"early","ba_m2_ha_frex",0.0530903959127429,0.000563259995073027,0.0506835130476227,0.000466111393319495,-0.00240688286512016,0.000296262383927329,-4.50854524608533,0.525457790758088
"early","ba_m2_ha_lade",4.45855491077101,0.0269081578928713,4.45530265894465,0.0271377465039296,-0.00325225182635753,0.00278011735790959,-0.0730949656585867,0.0617221007928367
"early","ba_m2_ha_piab",19.111552085664,0.149827553705183,19.3946193750707,0.133648193549614,0.283067289406743,0.0351760264582409,1.48943783342454,0.194623205010374
"early","ba_m2_ha_pice",0.782816660115979,0.00228174506128084,0.781989561037143,0.00243137172879413,-0.000827099078836091,0.000396224969239375,-0.106056915662417,0.0504158521287526
"early","ba_m2_ha_pimu",0,0,0,0,0,0,NA,NA
"early","ba_m2_ha_pisy",0.00577287661336188,8.1055554140128e-05,0.00564148256358083,4.75606810373593e-05,-0.000131394049781044,5.29371265689592e-05,-2.18550262000165,0.879383031060681
"early","ba_m2_ha_poni",0.00162862203960904,4.6115969541819e-05,0.00151911175906871,1.69624480653974e-05,-0.000109510280540328,4.56163586973605e-05,-6.13608819028121,2.50991860208733
"early","ba_m2_ha_potr",1.73734235241543e-06,1.34263161188037e-07,2.02530864204268e-06,1.16708013838657e-07,2.87966289627248e-07,1.61770141958662e-07,24.9287588144644,14.5417559214445
"early","ba_m2_ha_qupe",1.78969220666143e-05,3.68293121204348e-07,1.74108710051496e-05,3.56027414712988e-07,-4.86051061464693e-07,4.70167224518363e-07,-2.40686800350803,2.53909444846974
"early","ba_m2_ha_quro",0.00031425634071581,4.23063616779053e-06,0.000311456028462724,3.72100665598955e-06,-2.8003122530851e-06,4.68231628412047e-06,-0.770618895236095,1.50436301880098
"early","ba_m2_ha_saca",0.00140084765762185,3.87369723452001e-05,0.00142734393261736,3.85683997887345e-05,2.64962749955091e-05,1.09855917882433e-05,1.93195388668176,0.786085066852814
"early","ba_m2_ha_soar",0.0125319087314394,0.000215051418665861,0.0123320612400549,0.000225580389820587,-0.000199847491384475,5.75565938923388e-05,-1.60343412637551,0.459966462628228
"early","ba_m2_ha_soau",0.0239690045883007,0.000527713527849765,0.023534981901327,0.000507053514725649,-0.000434022686973685,8.04529099774277e-05,-1.79822753948169,0.311566418175651
"early","ba_m2_ha_tico",0.00152871295502823,3.20669753020778e-05,0.00151365365543423,2.7009561275409e-05,-1.50592995940016e-05,2.82163972934021e-05,-0.782587517717873,1.83568138339124
"early","ba_m2_ha_tipl",7.71014000963191e-07,5.0486454168684e-08,7.32234969220231e-07,3.57484287736247e-08,-3.877903174296e-08,4.14106347210613e-08,-3.17783579712504,5.30148995852762
"early","ba_m2_ha_ulgl",0.00347145874881675,5.30256629836144e-05,0.00349273891580234,4.73883598920091e-05,2.12801669855905e-05,3.11034053734803e-05,0.672244769402293,0.894163714477124
"early","beetle_generations_ha",1.43233622494765,0.0107776038892948,1.19996634759198,0.0104864360800622,-0.232369877355668,0.00152776772872704,-16.2295248695258,0.139830156291713
"early","cumKilledVolume_beetles",114450.237708237,5724.20658290207,61585.3962857551,3196.57433581883,-52864.8414224822,5338.25947376151,-45.4818554315871,2.99650486049699
"early","cumKilledVolume_total",262671.828072777,22481.5386696253,208763.025085506,19234.8400513596,-53908.8029872712,6351.41184983669,-20.7056378201015,1.90160600700513
"early","cumKilledVolume_wind",148221.59036454,17551.7487016728,147177.628799751,17133.1294070905,-1043.96156478895,1629.61078737642,-0.686926215848839,0.855627692549887
"early","cumNEP_Mg_ha",11.6557890530206,1.23183248946712,16.7652883701842,1.15143314099388,5.10949931716365,0.232231359403878,61.4070378573843,21.0357149519212
"early","deadWoody_C_Mg_ha",20.7556843007663,0.0821602323116647,20.9691223141156,0.0592012804312142,0.213438013349268,0.0463873075653638,1.03406237544663,0.224363223377862
"early","killedVolume_beetles",3815.00792360791,190.806886096736,2052.8465428585,106.552477860628,-1762.16138074941,177.941982458717,-45.4818554315871,2.99650486049699
