"rep","group","disturbance","patch","Rh_Mg_ha","beetle_generations_ha","sap_count_ha","sap_count_ha_piab","sap_count_ha_lade","sap_count_ha_pice","sap_count_ha_soau","sap_count_ha_pimu","sap_count_ha_acps","sap_count_ha_saca","sap_count_ha_pisy","sap_count_ha_soar","sap_count_ha_potr","sap_count_ha_fasy","sap_count_ha_bepe","sap_count_ha_frex","sap_count_ha_ulgl","sap_count_ha_acpl","sap_count_ha_tico","sap_count_ha_abal","sap_count_ha_quro","sap_count_ha_poni","sap_count_ha_alvi","sap_count_ha_alin","sap_count_ha_qupe","sap_count_ha_algl","sap_count_ha_coav","sap_count_ha_cabe","sap_count_ha_tipl","area_ha"
1,"macroclimate","postdisturbance",2,6.97694893360836,1.58333333333333,44793.4258910914,21693.7459615072,3063.70123036703,0,4057.46814823151,0,1098.98588307699,5596.02937062582,121.02911567688,973.726931413014,0,5229.50405502319,386.903644561767,193.917940497398,30.8127829531829,22.2548376719157,0,2023.15761121114,0,253.391738414764,0,27.8197931448619,0,20.9768467148145,0,0,0,6
1,"macroclimate","postdisturbance",3,6.77843640237425,1.5,52678.9528487325,23850.6134338379,5509.40879821777,0,9393.81589126587,0,1007.93433761597,6428.55045318604,0,192.053676605224,0,3612.92785644532,383.461809158326,1.04434216022491,0,32.2389184832573,0,1828.23637008667,0,438.666961669922,0,0,0,0,0,0,0,2
1,"macroclimate","postdisturbance",4,6.25579945183392,1.5,57939.4211283922,27372.5997085571,5488.82785797119,0,11057.0234355926,0,1398.93055152893,7716.42676734924,0,8.32685524225235,0,2297.71804523468,401.46216917038,0,0,12.4355091452599,0,2072.4908041954,0,113.179424405098,0,0,0,0,0,0,0,4
1,"macroclimate","postdisturbance",5,7.76847471416997,1.75,78311.2899593264,36467.9859466553,3354.23137664795,0,4194.80294036866,0,4248.62204885483,4345.59001731873,44.7676639556885,2491.42754077911,0,18643.1996917725,0.242468431591987,2306.50593948364,0,0,0,1946.74040728807,0,231.433423280716,0,35.7404944896698,0,0,0,0,0,2
1,"macroclimate","postdisturbance",6,8.4513523232859,1.75,78828.794252485,36226.1650848389,6900.14409065246,0,5221.04862928391,0,3010.56038093567,3993.54916095734,0,3345.52179336548,0,16540.6376113892,0.69899368286133,1626.70059108734,0,0,0,1710.72664913535,0,193.20299744606,0,59.8382697105408,0,0,0,0,0,2
1,"macroclimate","postdisturbance",7,7.30887474419878,1.625,42181.6289825439,22531.9233322144,1920.05232906342,0,3307.09914028645,0,3845.73377990723,3003.28659152985,591.797585368157,2857.93413686752,0,2249.40566110611,4.1745584011078,891.290898323059,0,0,0,534.92083978653,0,270.901312112808,0,141.744061470032,0,31.3647561073303,0,0,0,4
1,"macroclimate","postdisturbance",8,5.90477547717006,1.5,53160.5065740347,25053.05078125,4118.67137145996,0,1953.82884216309,0,1845.7852935791,4278.78085327148,0,1642.20559120178,0,11626.8467559814,20.8591274023056,33.8160648345947,88.0653076171875,0,0,2412.49227523804,0,10.2035989761353,0,0,0,75.9007110595703,0,0,0,1
1,"macroclimate","postdisturbance",9,5.48862861228692,1.5,49639.537260294,21605.6077423096,5498.13230133057,0,12630.1572875977,0,522.520221710205,4880.56214523316,0.191661596298218,328.287431836128,0,1442.95273590088,1243.57320213318,0,0,0,0,1487.55253064632,0,0,0,0,0,0,0,0,0,4
1,"macroclimate","postdisturbance",10,7.28772487463815,1.5,28830.0358213186,21221.1220703125,3365.40640258789,0,888.708179473877,0,497.705677032471,978.171382904053,0,1.24484503269196,0,1688.63671112061,0,12.097603559494,0,0,0,176.942949295044,0,0,0,0,0,0,0,0,0,1
1,"macroclimate","postdisturbance",11,5.25675588731621,2,74548.3671016693,16136.2837524414,2025.51148223877,0,927.00732421875,0,2393.45970153809,774.322898864746,0,1875.01868247986,0,46852.2593994141,0,2049.24530029297,1472.80068969727,0,0,42.4578704833984,0,0,0,0,0,0,0,0,0,1
1,"macroclimate","postdisturbance",12,7.05855082947247,1.5,45719.8877261877,14521.568687439,4103.64214706421,0,141.172168254852,0,477.186725139618,525.350566029548,0,801.846948862075,0,23181.2941131592,0,872.275314331054,0,0,0,1095.5510559082,0,0,0,0,0,0,0,0,0,4
1,"macroclimate","postdisturbance",13,7.72926716813479,1.5,63901.2802977562,11958.5202178955,4121.73284912109,0,206.281890869141,0,1776.73108291626,211.714757442475,0,3760.64445877075,0,40665.3148803711,0,1200.34016036988,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,"macroclimate","postdisturbance",14,5.63960378104356,1.9,54370.3580589056,18719.3781433106,5029.1893737793,0,1514.08061714172,0,1690.76751708984,371.835429501534,0,2999.02756385803,0,19698.1764038086,0,3863.34433288574,66.1331589221955,0,0,418.425518608093,0,0,0,0,0,0,0,0,0,5
1,"macroclimate","postdisturbance",15,7.79337289236273,1.5,44120.2091932297,10343.7289428711,3961.36627197266,0,950.383373260498,0,1429.4408416748,90.3626737594604,0,3480.67538833618,0,22466.1657714844,0,1323.20418548584,0,0,0,74.8817443847656,0,0,0,0,0,0,0,0,0,1
1,"macroclimate","postdisturbance",16,10.4663304203115,2,68301.7362332344,18901.2538299561,5772.83047103882,0,2091.8398244381,0,1481.21334838868,694.130326271057,0,2211.58025550842,0,32397.4312744141,0,2129.56525039673,199.880109071732,10.451693534851,7.51169538497925,2404.04815483093,0,0,0,0,0,0,0,0,0,2
1,"macroclimate","postdisturbance",17,7.00083920701484,2,54466.2160458565,20809.423034668,2374.25662231445,0,1020.84546375275,0,1787.68835449219,1394.62740325928,0,311.452575683594,0,24461.0091552734,0,1281.94356536865,97.8126058578491,40.9421033859253,249.696833133698,636.518328666687,0,0,0,0,0,0,0,0,0,1
1,"macroclimate","postdisturbance",18,3.54145900745598,1.85,44536.7574255824,13512.4383422852,679.115184020996,0,5515.10543470383,0,1380.52443733215,7397.41561889649,0,1089.0514570117,0,14603.5556762695,0,345.943425750733,9.64123668670654,0,0,3.96661262512207,0,0,0,0,0,0,0,0,0,10
1,"macroclimate","postdisturbance",19,7.18929811375446,1.72222222222222,61639.0722292132,13540.2785712348,1912.49444940355,0,2465.89486987061,0,2850.61556328668,1195.0340126223,0,3531.79440773858,0,31297.2244398329,0,1992.13532935249,0,161.002132972081,221.443628218439,2470.60488616096,0,0,0,0,0,0.549938519795736,0,0,0,9
1,"macroclimate","postdisturbance",20,4.0208002332738,2,53874.444489193,23548.4001159668,189.769348621368,0,8001.20146026611,0,1467.73071899414,4200.09962463379,0,2098.00479907989,0,10933.3069152832,0,455.890475845337,0,0,289.355849075318,2690.685181427,0,0,0,0,0,0,0,0,0,5
1,"macroclimate","postdisturbance",21,4.97798389759293,1.75,52657.3914380967,23713.7685699463,706.499341964721,0,7513.91931152344,0,3286.92214584351,5196.85203170776,0,1782.4493765831,0,10091.1736984253,0,336.462787628174,0.49648854136467,12.4413585662842,15.1716384887696,1.23468887805938,0,0,0,0,0,0,0,0,0,2
1,"macroclimate","postdisturbance",22,3.57314719048564,2,82443.5610977411,31310.2573852539,265.486976623535,0,8999.69537353516,0,1481.46217501163,4215.85405158997,0,3402.45132255554,0,22214.5769729614,0,1687.86380386353,0,0,2183.25724983215,6682.65578651428,0,0,0,0,0,0,0,0,0,1
1,"macroclimate","postdisturbance",23,5.84042991268827,1.5,38961.8853046894,25544.3303222656,2047.62544250488,0,1020.70198059082,0,190.162521362305,259.608997106552,0,436.543823242188,0,8308.57843017578,0,7.23227071762085,0,0,0,1147.10151672363,0,0,0,0,0,0,0,0,0,1
1,"macroclimate","predisturbance",2,9.1333793825215,1.83333333333333,16582.5507884224,9674.61039352418,1405.94560329119,0,978.865651448567,0,210.633316675822,492.87085366249,28.6904042561849,288.192024230957,0,2134.89193725586,88.9876509110133,38.7269851366679,0,26.0247837702433,0,1125.92497118314,0,18.3531325260799,0,68.6003404855727,0,1.23274006446203,0,0,0,6
1,"macroclimate","predisturbance",3,7.1883758587159,1.5,49978.2383413315,25206.9716796875,7444.77277374268,0,6882.6357421875,0,2081.95302963257,1026.6106262207,0,0,0,4029.65991210938,932.10320854187,23.8252767324448,0,74.0081615447998,0,2082.51684570312,0,193.18108522892,0,0,0,0,0,0,0,2
1,"macroclimate","predisturbance",4,5.96939420236001,1.5,45279.6878926754,27588.8263676166,6090.33912181854,0,4924.58697509766,0,1314.22065973282,827.39192199707,0,69.413475036621,0,1514.77928352356,738.9125623703,0,0,17.3262596130371,0,2193.89126586914,0,0,0,0,0,0,0,0,0,4
1,"macroclimate","predisturbance",5,9.59748930813454,2,12525.5067763329,5951.77026367188,1072.07800292969,0,1395.88040161133,0,232.843727111816,162.181015014648,0,454.391693115234,0,2519.49206542969,9.02835369110105,162.224314689636,0,0,0,514.709320068359,0,0,0,43.2177047729492,0,7.689914226532,0,0,0,2
1,"macroclimate","predisturbance",6,9.26134439428505,1.75,17066.456290245,8094.54833984375,1372.02941894531,0,1411.57485413551,0,381.73331451416,135.148986816406,0,1702.72361755371,0,3610.45971679688,0,93.2357330322266,21.0835304260254,0,0,240.23705291748,0,0,0,3.68172526359558,0,0,0,0,0,2
1,"macroclimate","predisturbance",7,7.08080798849507,2,21976.4610983431,13799.5761642456,913.746170282364,0,1569.05502575636,0,740.720573425293,368.395112276077,365.320671081543,1137.91997021437,0,1499.16844177246,3.73284819722175,66.6690137386322,0,0,0,448.399620056152,0,0,0,912.939023017884,0,150.818464279175,0,0,0,4
1,"macroclimate","predisturbance",8,7.09810905958393,2,14337.0727450848,8143.2353515625,1764.41015625,0,1136.67651367188,0,166.060096740723,291.925842285156,0,293.196990966797,0,1979.61647033691,0,0,0,0,0,559.859252929688,0,0,0,0,0,2.09207034111023,0,0,0,1
1,"macroclimate","predisturbance",9,14.5128887597199,1.5,54832.1652789116,25330.2020816803,8251.52790307998,0,13414.6668281555,0,149.429273605347,1109.25138282776,9.89304161071778,34.7067375183105,0,2211.80982589722,3567.75007557869,53.6193983554839,4.00251626968385,0,0,681.926280975342,13.3799333572388,0,0,0,0,0,0,0,0,4
1,"macroclimate","predisturbance",10,9.297992188448,1.5,4604.62332439423,3213.45849609375,383.794372558594,0,133.010177612305,0,5.54641199111938,0,0,0,0,455.731262207031,0,4.985680103302,0,0,0,408.096923828125,0,0,0,0,0,0,0,0,0,1
1,"macroclimate","predisturbance",11,5.87629905886637,2,41837.5220184326,15292.3095092773,3093.59110641479,0,332.447814941406,0,3221.64056396484,0,0,973.884094238281,0,15691.8876953125,0,998.527690887451,2233.233543396,0,0,0,0,0,0,0,0,0,0,0,0,1
1,"macroclimate","predisturbance",12,7.25864979194512,1.75,39688.4835724234,17554.1033287048,5243.24813842773,0,2.01444244384765,0,890.096965909006,9.6923370361328,0,208.129271507263,0,13559.037109375,0,983.985281765461,0,0,0,1238.17669725418,0,0,0,0,0,0,0,0,0,4
1,"macroclimate","predisturbance",13,7.87326969107554,2,49094.953924179,14558.0055599213,5181.00680541993,0,0,0,2577.67070770263,0,0,1985.10461425782,0,23117.8076171875,0,1675.35861968994,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,"macroclimate","predisturbance",14,9.42450323232638,2,23138.1471613884,11472.6690479279,2966.44528856277,0,216.01658782959,0,1661.68931150436,0,0,851.86007080078,0,4218.72937011719,0,1492.32473754883,61.4836409568787,0,0,196.929106140137,0,0,0,0,0,0,0,0,0,5
1,"macroclimate","predisturbance",15,7.42654602133852,2,39679.7838847637,13684.9057338238,3814.7532043457,0,28.1473503112793,0,1437.61335754395,0,0,2148.34106445312,0,17365.15234375,0,1191.51343536377,9.35739517211914,0,0,0,0,0,0,0,0,0,0,0,0,1
1,"macroclimate","predisturbance",16,9.80941618386931,2,21157.0631165505,8476.13208007812,1693.78701019287,0,269.62523651123,0,1392.85276031494,70.775863647461,0,784.302490234375,0,6680.18115234375,0,762.401704311371,161.350475549698,0,0,865.654343366621,0,0,0,0,0,0,0,0,0,2
1,"macroclimate","predisturbance",17,9.56141275905403,2,33173.5529270172,17799.7838821411,2064.46914100647,0,179.746978759766,0,2178.4075012207,297.004302978516,0,0,0,9648.5615234375,0,551.86368560791,0,0,23.4901733398438,430.225738525391,0,0,0,0,0,0,0,0,0,1
1,"macroclimate","predisturbance",18,7.80872865671832,2,33795.9210148096,20376.7582320213,970.263559007645,0,1176.54691772461,0,1084.85116100311,559.62168033123,0,565.421394872666,0,8809.55295410156,0,224.09350271225,0,0,0,28.811613035202,0,0,0,0,0,0,0,0,0,10
1,"macroclimate","predisturbance",19,9.59874744199727,2,31493.8968861898,13295.8973746565,1623.38638313611,0,497.286655002171,0,1640.61778873867,92.6728917227851,0,1300.54791196187,0,9688.76226128472,0,1258.03683641222,0,24.7163507673476,112.888649834527,1957.66274823083,0,0,0,0,0,1.4210344420539,0,0,0,9
1,"macroclimate","predisturbance",20,6.23586604705034,2,22191.9832665443,14625.0529549599,154.885176086426,0,1442.33496837616,0,773.745819854737,392.798551750183,0,346.52361907959,0,3391.35322265625,0,450.12247428894,0,0,44.7804077148436,570.386071777344,0,0,0,0,0,0,0,0,0,5
1,"macroclimate","predisturbance",21,7.01394076763934,2,16363.1628801822,10547.262254715,505.745527267457,0,1591.04189300537,0,231.636571884155,213.971736431122,0,189.528602361679,0,2948.49313354492,0,55.6774492263795,0,0,0,79.8057117462156,0,0,0,0,0,0,0,0,0,2
1,"macroclimate","predisturbance",22,7.00479251156626,2,28382.254825592,18273.8121986389,328.525299072266,0,1858.88427734375,0,571.626525878906,129.744812011719,0,604.273132324219,0,3763.73510742188,0,470.884521484375,0,0,386.574005126953,1994.19494628906,0,0,0,0,0,0,0,0,0,1
1,"macroclimate","predisturbance",23,7.61792441631744,1.5,2687.98596191406,2153.9013671875,192.443725585938,0,138.826950073242,0,202.813919067383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,"microclimate","postdisturbance",2,4.98104395803317,1.5,38264.5163198114,12625.2142944336,4923.25131988526,0,2633.21567964553,0,1206.78192901612,411.056935846806,0,3001.2386636734,0,11328.1780548096,0,1991.17724609375,72.6530790328981,0,0,71.7491173744201,0,0,0,0,0,0,0,0,0,2
1,"microclimate","postdisturbance",3,6.25756966149275,1.5,53422.2929327488,16810.8338012695,2731.13285827637,0,2138.74861335754,0,1984.26233673096,2860.72210693359,0,104.065963745117,0,24552.2286376953,0,1131.57246398926,30.5155022144318,0,375.925547599792,702.28510093689,0,0,0,0,0,0,0,0,0,1
1,"microclimate","postdisturbance",4,3.67209445227713,1.18181818181818,32247.5099959698,10375.3555242365,528.194387652657,0,5634.32306168297,0,836.488621451638,7320.70853632147,0,1258.19198544459,0,6114.54869534752,0,179.486276106401,0.212907726114446,0,0,0,0,0,0,0,0,0,0,0,0,11
1,"microclimate","postdisturbance",5,8.65589664768422,1.78571428571429,57959.7026372126,11402.1028485979,621.627038002014,0,384.856817960739,0,549.454102379935,145.780017444066,0.701712965965271,1642.48008292062,0.366457428250994,40083.4960327148,0,656.4349899292,1.87718635797501,0,1.33725240400859,2451.78967094421,0.807343687329973,0,13.9012298583984,0,2.6898536171232,0,0,0,0,7
1,"microclimate","postdisturbance",6,5.42093046844005,1.5,54549.7216539383,14391.9144897461,2410.13454437256,0,4143.07052230835,0,3247.9037322998,2485.92098808289,0,3748.53346252441,0,19125.9862365723,0,1809.46306991578,0,208.432406425477,242.674608230591,2735.68759346008,0,0,0,0,0,0,0,0,0,2
1,"microclimate","postdisturbance",7,4.25991066849429,1.625,26728.8869642913,10375.6754150391,399.269772648812,0,5147.41180658341,0,537.668413162231,3408.09508800507,0,806.35946893692,0,4602.83954977989,0,270.48893237114,0,0,15.3479011952877,1165.73061656952,0,0,0,0,0,0,0,0,0,4
1,"microclimate","postdisturbance",8,4.44893779445029,1.5,81707.5851414204,31652.6382446289,522.296543121338,0,11544.5820016861,0,1342.1106042862,4442.99456214905,0,3834.26329350471,0,19345.8660812378,0,1558.44998931885,0,0,1346.52371025086,6117.86011123657,0,0,0,0,0,0,0,0,0,2
1,"microclimate","predisturbance",2,8.36004736947027,1.5,16852.4397423268,9429.3837890625,1954.34999394417,0,363.952140808105,0,1387.95625090599,0,0,563.007171630859,0,1877.90399169922,0,1214.09293174744,50.5379526615143,0,0,11.2555198669433,0,0,0,0,0,0,0,0,0,2
1,"microclimate","predisturbance",3,7.83903651761257,1.5,37868.7434387207,19210.2712936401,2388.58075714111,0,280.455078125,0,3260.10406494141,551.277893066406,0,0,0,11182.21484375,0,398.95240020752,13.7194786071777,28.7932395935059,359.030151367188,195.34423828125,0,0,0,0,0,0,0,0,0,1
1,"microclimate","predisturbance",4,6.49256861225802,1.45454545454545,32876.7613855492,19690.5254791867,876.373474077746,0,1103.80222667347,0,1053.91878492182,546.590199058706,0,648.462565118616,0,8747.19804243608,0,194.646123972806,0,0,0,15.2444901032881,0,0,0,0,0,0,0,0,0,11
1,"microclimate","predisturbance",5,10.0123075806139,1.78571428571429,15699.6735720975,6117.86495535714,197.315517970494,0,333.24153137207,0,725.666453225272,0,79.1443350655691,352.338588816779,10.4259223937988,6554.97232001168,0,253.982179096767,101.660374777658,0,109.8033719744,605.658586774554,62.9838311331613,0,3.12842587062291,32.5288761683873,144.990209306989,0,0,13.9680927821568,0,7
1,"microclimate","predisturbance",6,7.3457150504576,1.5,26013.7136799097,13758.5439398289,1579.3927949667,0,571.791526794433,0,1522.48533630372,108.606914520264,0,538.502681732178,0,6068.73461914062,0,573.950603485108,0,49.4490032196045,366.870155334472,875.38610458374,0,0,0,0,0,0,0,0,0,2
1,"microclimate","predisturbance",7,5.91842278242578,1.5,16718.1773449183,11520.0699197054,205.205991268158,0,1078.3110666275,0,588.257422447204,234.614684581757,0,68.0450191497804,0,2314.37573242188,0,323.914160728454,0,0,28.0206260681152,357.362721920013,0,0,0,0,0,0,0,0,0,4
1,"microclimate","predisturbance",8,6.85928869712429,1.5,28054.6246395111,17580.9899272918,328.450469970704,0,1516.83264160157,0,800.728668212893,88.0969944000246,0,946.657623291014,0,4153.44934082032,0,470.035551071167,0,0,323.884033203125,1845.49938964843,0,0,0,0,0,0,0,0,0,2
2,"macroclimate","postdisturbance",2,7.71902709903017,2.5,53609.6205932617,17301.1517944336,5682.55099487305,0,9553.97424163818,0,1354.64939117432,7753.15668640137,0,497.970092010498,0,7745.35255126953,574.420135879517,0,0,104.01208190918,0,1706.09979019165,0,1336.28283348083,0,0,0,0,0,0,0,5
