"rep","ecotone","name","macroclimate","microclimate","relDiff"
1,"core","sap_count_ha_abal",461.934338209679,302.41664567913,-34.5325470171349
1,"core","sap_count_ha_acps",536.819478538042,360.774824137391,-32.7940138983194
1,"core","sap_count_ha_fasy",4511.65803557295,2726.39485824937,-39.5700020535102
1,"core","sap_count_ha_lade",3306.52358861798,3313.51736213686,0.211514399684093
1,"core","sap_count_ha_piab",8000.04112237081,8910.64011832012,11.3824289403084
1,"core","sap_count_ha_pice",1318.20463987961,1465.50849853875,11.1745820188128
1,"lower","sap_count_ha_abal",202.66424452867,168.527932008432,-16.843776562377
1,"lower","sap_count_ha_lade",850.619450801872,876.114464452466,2.99722909305217
1,"lower","sap_count_ha_pice",13.0840495138271,30.7588496418727,135.086619088128
1,"upper","sap_count_ha_abal",3.01314466439317,3.60209280903308,19.5459631128771
1,"upper","sap_count_ha_acps",38.4882856234284,37.0630356780824,-3.70307464273842
1,"upper","sap_count_ha_fasy",4.54696521570238,21.8514022190837,380.571132227329
1,"upper","sap_count_ha_lade",4237.94758685194,4516.86624668938,6.58145609687982
1,"upper","sap_count_ha_piab",38.5855959975029,101.626956286802,163.380553441183
1,"upper","sap_count_ha_pice",717.910888826032,1035.40769815268,44.225100115954
2,"core","sap_count_ha_abal",410.461157373403,296.214548089636,-27.8337200077218
2,"core","sap_count_ha_acps",504.02189779291,375.777726015559,-25.4441666798461
2,"core","sap_count_ha_fasy",4361.43163372496,2818.09765240617,-35.3859491774419
2,"core","sap_count_ha_lade",3224.41953885727,3262.82802150823,1.19117509952112
2,"core","sap_count_ha_piab",7757.84032980423,8102.85613932833,4.44731774381345
2,"core","sap_count_ha_pice",1315.16039851672,1398.13597416571,6.30916014066193
2,"lower","sap_count_ha_abal",179.568154344421,152.283691986496,-15.1944883866166
2,"lower","sap_count_ha_lade",788.465833855894,822.689564258854,4.34054703874644
2,"lower","sap_count_ha_pice",10.0866549311207,27.6472829550815,174.097638353626
2,"upper","sap_count_ha_abal",2.93694240244643,3.67820383701242,25.2392227354724
2,"upper","sap_count_ha_acps",38.9179632990572,38.3612417911038,-1.43050011038705
2,"upper","sap_count_ha_fasy",3.84739970407315,18.6544877146918,384.859623369591
2,"upper","sap_count_ha_lade",4241.61710827207,4499.30200943495,6.07515705885692
2,"upper","sap_count_ha_piab",26.4366387519105,107.022992991152,304.82829150668
2,"upper","sap_count_ha_pice",786.392462203577,1076.72306570376,36.9193014244619
3,"core","sap_count_ha_abal",429.586034304893,296.594100043852,-30.958160564096
3,"core","sap_count_ha_acps",515.913298100357,379.532420161417,-26.4348444672987
3,"core","sap_count_ha_fasy",4309.37074764916,3061.30394136268,-28.9616948592164
3,"core","sap_count_ha_lade",3140.72083757684,3433.38292668181,9.31830952956548
3,"core","sap_count_ha_piab",8194.00517215795,7704.85594464643,-5.96959871557778
3,"core","sap_count_ha_pice",1330.02511029128,1401.81321587831,5.39750001947763
3,"lower","sap_count_ha_abal",194.061588318807,143.81243000291,-25.8934077326767
3,"lower","sap_count_ha_lade",821.426303760662,868.047569228851,5.67564798628281
3,"lower","sap_count_ha_pice",11.4473669850768,29.4444605676978,157.216009638571
3,"upper","sap_count_ha_abal",2.96430626087415,3.73250314851784,25.9148961017664
3,"upper","sap_count_ha_acps",37.3427157714742,37.0402274675,-0.810032954821437
3,"upper","sap_count_ha_fasy",4.3961393450333,25.1237401014002,471.495535731474
3,"upper","sap_count_ha_lade",4103.09846438488,4613.72943808864,12.4450090129706
3,"upper","sap_count_ha_piab",37.3585938986071,101.149970242737,170.754221952954
3,"upper","sap_count_ha_pice",791.325887792448,962.454099887616,21.6255040729885
4,"core","sap_count_ha_abal",427.155008131021,270.10997228373,-36.7653504835231
4,"core","sap_count_ha_acps",464.564728819095,322.831275090579,-30.5088709788185
4,"core","sap_count_ha_fasy",4036.88170647205,2472.30443326477,-38.7570750636289
4,"core","sap_count_ha_lade",3224.94440154513,3225.77125551073,0.0256393246720027
4,"core","sap_count_ha_piab",8247.23518389625,8143.02498179436,-1.26357742659471
4,"core","sap_count_ha_pice",1385.80149496532,1387.29346557845,0.107661206785135
4,"lower","sap_count_ha_abal",167.398776412062,139.235171196647,-16.8242599014516
4,"lower","sap_count_ha_lade",726.053530974732,770.109230048261,6.06783070311406
4,"lower","sap_count_ha_pice",17.2743183554166,32.8810373650573,90.3463667192805
4,"upper","sap_count_ha_abal",2.9852336823199,3.11977427710087,4.50686978301853
4,"upper","sap_count_ha_acps",33.3767440282418,32.6393210152189,-2.20939170219519
4,"upper","sap_count_ha_fasy",3.17874080658896,10.6704678203355,235.68222354643
4,"upper","sap_count_ha_lade",3806.92724474396,4279.06713258849,12.4021253228938
4,"upper","sap_count_ha_piab",22.307768721285,86.6323242670362,288.350468168409
4,"upper","sap_count_ha_pice",668.2252498576,947.585848329584,41.8063517551179
5,"core","sap_count_ha_abal",411.50432070607,277.724551261689,-32.5099306891452
5,"core","sap_count_ha_acps",480.993899058831,352.754324585558,-26.661372363392
5,"core","sap_count_ha_fasy",4255.40278392465,2694.77161963683,-36.6741115596228
5,"core","sap_count_ha_lade",3220.48426099231,3345.06786542195,3.86847425210711
5,"core","sap_count_ha_piab",8904.0097529282,8137.3844781127,-8.6098880851224
5,"core","sap_count_ha_pice",1278.15639743061,1449.8188395396,13.4304723939945
5,"lower","sap_count_ha_abal",174.16012282065,149.278133279917,-14.2868465741479
5,"lower","sap_count_ha_lade",821.404828783607,891.781804684514,8.56787949556203
5,"lower","sap_count_ha_pice",15.8409371806541,32.2832841758956,103.796554507658
